question,intent,answer,source_dataset
What was the final score between Guyana and Barbados?,match_score,Guyana 2 - 1 Barbados,results
Who won the shootout when Egypt played South Korea?,shootout_winner,South Korea,shootouts
Who kicked first when South Africa played Lesotho in a penalty shootout?,first_shooter,Unknown,shootouts
Who came out on top between Romania and Greece?,match_winner,Romania,results
When did the match between North Macedonia and Serbia take place?,match_date,1999-09-08,results
Which team defeated the other in Tunisia versus Libya?,match_winner,Tunisia,results
Which player got the goal for Sweden against Finland?,scorer,Martin Dahlin,goalscorers
Did Enock Mwepu convert a penalty against Algeria on 2017-09-02?,penalty_status,No,goalscorers
What was the away team's score when Trinidad and Tobago played Honduras on 1988-10-30?,away_team_score,0,results
At what point in the match did Ngidi Yemweni score against Djibouti?,goal_minute,88,goalscorers
What was the total number of goals in Thailand versus South Korea?,total_goals,3,results
When did Tahiti face New Caledonia?,match_date,1964-09-27,results
Who won the shootout involving South Africa and Angola?,shootout_winner,South Africa,shootouts
In what city was Saint Vincent and the Grenadines against Saint Kitts and Nevis played?,match_location,"Kingstown, Saint Vincent and the Grenadines",results
Which location hosted the match between Zimbabwe and Australia?,match_location,"Maputo, Mozambique",results
Can you tell me the score between Antigua and Barbuda and Martinique?,match_score,Antigua and Barbuda 1 - 0 Martinique,results
What minute was Emre Aşık's goal for Turkey?,goal_minute,72,goalscorers
Did Nikolay Shirshov score an own goal against Jordan?,own_goal_status,No,goalscorers
Was the goal by Paul Young recorded as an own goal?,own_goal_status,No,goalscorers
Which side took the opening penalty between Zambia and Namibia?,first_shooter,Unknown,shootouts
What city and country hosted Peru versus Paraguay?,match_location,"Lima, Peru",results
Did Artem Dzyuba's goal in Russia versus Saudi Arabia count as an own goal?,own_goal_status,No,goalscorers
Who won the Friendly match between Tunisia and Morocco?,match_winner,Morocco,results
Where was the African Cup of Nations qualification match between Nigeria and Sierra Leone held?,match_location,"Benin City, Nigeria",results
Who was the winner of the penalty shootout between South Africa and Angola?,shootout_winner,South Africa,shootouts
Who won the penalty shootout between Iraq and Qatar on 1984-03-28?,shootout_winner,Iraq,shootouts
Who was on the scoresheet for Australia against American Samoa?,scorer,Aurelio Vidmar,goalscorers
Who kicked first when Mexico played Argentina in a penalty shootout?,first_shooter,Mexico,shootouts
Where was the match between Poland and Wales played?,match_location,"Wrocław, Poland",results
Was Egypt against Benin played away from both teams' home grounds?,neutral_status,Yes,results
Who won the penalty shootout between Argentina and Ecuador?,shootout_winner,Argentina,shootouts
Which team took the first penalty between Abkhazia and Western Armenia?,first_shooter,Unknown,shootouts
Who won the match between Bahrain and Iraq on 2001-08-23?,match_winner,Bahrain,results
Did either Seychelles or Mauritius have home advantage?,neutral_status,No,results
Which player scored for Kenya against Guinea?,scorer,Edwin Mukenya,goalscorers
What was the final result when Denmark played Romania?,match_score,Denmark 0 - 0 Romania,results
How many times did the home team Anguilla score against Saint Kitts and Nevis?,home_team_score,2,results
Was the goal scored by Son Heung-min for South Korea a penalty?,penalty_status,No,goalscorers
Where did Saudi Arabia face Malaysia?,match_location,"Jeddah, Saudi Arabia",results
Did Mohsen Labidi register an own goal in the match against Uganda?,own_goal_status,No,goalscorers
What was the home team's score when Spain played Czech Republic on 2011-03-25?,home_team_score,2,results
What was the away team's score when Uganda played Kenya?,away_team_score,1,results
Who won the FIFA World Cup qualification match between Malaysia and Bahrain?,match_winner,Draw,results
How did the match between Russia and North Macedonia end?,match_score,Russia 1 - 0 North Macedonia,results
Who was the first shooter in the penalty shootout between Zambia and Zimbabwe?,first_shooter,Unknown,shootouts
How many goals were there in the match between Kyrgyzstan and Macau?,total_goals,1,results
What was the away team's score in Malta versus England?,away_team_score,1,results
When was Aleksandr Iashvili's goal scored in the match against Turkey?,goal_minute,40,goalscorers
Did Harry Kane score from the penalty spot against DR Congo?,penalty_status,No,goalscorers
Which team took the first kick between Abkhazia and South Ossetia on 2014-06-04?,first_shooter,Unknown,shootouts
Which player got the goal for Yugoslavia against Paraguay?,scorer,Zdravko Rajkov,goalscorers
In what city was United States against Antigua and Barbuda played?,match_location,"Tampa, United States",results
Did the match between Belgium and Romania end in a draw or did someone win?,match_winner,Belgium,results
What was the scoreline for Turkmenistan versus Thailand?,match_score,Turkmenistan 3 - 1 Thailand,results
Who was the winner of the penalty shootout between Nepal and Laos?,shootout_winner,Nepal,shootouts
What was the date of Indonesia versus Sri Lanka?,match_date,2004-06-09,results
Did Manor Solomon's goal in Israel versus Albania count as an own goal?,own_goal_status,No,goalscorers
Which team won between Romania and Egypt?,match_winner,Romania,results
Which team took the first penalty between Uzbekistan and Bahrain?,first_shooter,Bahrain,shootouts
What was the total goal count in the match between Bulgaria and Malta?,total_goals,3,results
On what date did Japan play Bahrain?,match_date,2025-03-20,results
Which side won the penalty shootout between Libya and Tunisia?,shootout_winner,Tunisia,shootouts
How many total goals were scored between Tunisia and Ivory Coast?,total_goals,4,results
What was the score between France and Catalonia?,match_score,France 7 - 0 Catalonia,results
Which player scored for Trinidad and Tobago in the 1992-04-19 match against Barbados?,scorer,Russell Latapy,goalscorers
What was the goal minute for Aytec Genc against Solomon Islands on 1992-09-26?,goal_minute,4,goalscorers
Was the Copa América match between Argentina and Peru neutral?,neutral_status,Yes,results
What was the away score when Iraq played United Arab Emirates?,away_team_score,0,results
Who won the match between Iran and Spain?,match_winner,Spain,results
When did the match between Cambodia and Taiwan take place?,match_date,1964-08-23,results
In which tournament did Romania face Slovakia?,tournament,Friendly,results
Which team kicked first in the shootout between Australia and Uzbekistan?,first_shooter,Australia,shootouts
What was the total number of goals scored between Kenya and Sudan?,total_goals,2,results
Where was the Friendly match between Czechoslovakia and Austria held?,match_location,"Prague, Czechoslovakia",results
What was the scoreline for Netherlands versus Ecuador?,match_score,Netherlands 1 - 1 Ecuador,results
What was the combined number of goals in the FIFA World Cup qualification match between Albania and Kazakhstan?,total_goals,3,results
What was the competition for United States against Scotland on 1998-05-30?,tournament,Friendly,results
Which team was victorious in the penalty shootout between Réunion and Martinique?,shootout_winner,Martinique,shootouts
What competition was the match between Benin and Rwanda played in?,tournament,African Cup of Nations qualification,results
What was the total number of goals scored between Portugal and Luxembourg?,total_goals,9,results
Who was on the scoresheet for Norway against Belarus?,scorer,Ole Gunnar Solskjær,goalscorers
Who was on the scoresheet for Jamaica against Panama?,scorer,Damani Ralph,goalscorers
Which team won between Egypt and Italy?,match_winner,Italy,results
Was Louis Schaub's goal in Austria versus Israel a spot kick?,penalty_status,No,goalscorers
How many goals did the home team San Marino score in the FIFA World Cup qualification match against Czech Republic?,home_team_score,0,results
What was the goal minute for Mihails Zemļinskis against Estonia on 1997-09-06?,goal_minute,87,goalscorers
In which minute did Musa Barrow score in Gambia versus Seychelles?,goal_minute,52,goalscorers
Who came out on top between Australia and Cook Islands?,match_winner,Australia,results
When did South Korea face Saudi Arabia?,match_date,1995-10-31,results
Which tournament featured San Marino versus Czech Republic?,tournament,FIFA World Cup qualification,results
Which side took the opening penalty between Nepal and Laos?,first_shooter,Unknown,shootouts
In which minute did Tarek El-Said score in Egypt versus Cameroon?,goal_minute,86,goalscorers
How many goals did the away team Poland score while playing away to Armenia?,away_team_score,1,results
Which tournament included the match between Ethiopia and Sudan?,tournament,Friendly,results
In which minute did Ariel Graziani score in Ecuador versus Uruguay?,goal_minute,59,goalscorers
How did Germany vs Armenia finish?,match_score,Germany 4 - 0 Armenia,results
Who won the shootout when Niger played Burkina Faso?,shootout_winner,Burkina Faso,shootouts
What city and country hosted Angola versus Malawi?,match_location,"Luanda, Angola",results
Which team won the shootout between Madagascar and Réunion?,shootout_winner,Réunion,shootouts
Where was the match between Ecuador and Argentina played?,match_location,"Quito, Ecuador",results
How many goals were scored by the away team Guernsey against Alderney?,away_team_score,1,results
How did Nepal vs South Korea finish?,match_score,Nepal 0 - 2 South Korea,results
What was the location of Hong Kong versus Cambodia?,match_location,"Hong Kong, Hong Kong",results
Did Haytham Tambal's goal in Sudan versus Cameroon count as an own goal?,own_goal_status,No,goalscorers
What minute was Carlo Costly's goal for Honduras?,goal_minute,2,goalscorers
Which player got the goal for Argentina against Colombia?,scorer,Gabriel Batistuta,goalscorers
Which side won the penalty shootout between Saare County and Åland Islands?,shootout_winner,Åland Islands,shootouts
Who won the shootout involving Ethiopia and Zanzibar?,shootout_winner,Zanzibar,shootouts
How many goals were scored by the away team Trinidad and Tobago against Bahamas?,away_team_score,3,results
When did the match between Grenada and Dominica take place?,match_date,2015-05-14,results
Which side won the penalty shootout between Comoros and Yemen?,shootout_winner,Comoros,shootouts
Which player got the goal for Uzbekistan against Lebanon?,scorer,Server Djeparov,goalscorers
What was the competition for Spain against Bolivia on 2014-05-30?,tournament,Friendly,results
Which side took the opening penalty between Mali and Sierra Leone?,first_shooter,Unknown,shootouts
Was Memphis Depay's goal for Netherlands against Northern Ireland an own goal?,own_goal_status,No,goalscorers
Was Rodolfo Zelaya's goal for El Salvador marked as an own goal?,own_goal_status,No,goalscorers
Who started the penalty shootout between South Africa and Mali?,first_shooter,South Africa,shootouts
Was Norway against Germany played away from both teams' home grounds?,neutral_status,No,results
Was Tuvalu against Solomon Islands played away from both teams' home grounds?,neutral_status,Yes,results
What was the away team's score in Cuba versus Antigua and Barbuda?,away_team_score,0,results
What was the scoreline for Bahrain versus Saudi Arabia?,match_score,Bahrain 1 - 0 Saudi Arabia,results
Where did Kazakhstan face Japan?,match_location,"Busan, South Korea",results
What score did North Korea and Myanmar finish with?,match_score,North Korea 4 - 1 Myanmar,results
Which side took the opening penalty between Iraqi Kurdistan and Western Armenia?,first_shooter,Unknown,shootouts
Who was the goalscorer for Senegal versus Benin?,scorer,Cherif Ndiaye,goalscorers
On what date did Honduras play El Salvador?,match_date,2013-01-18,results
What was the home team's score when Republic of Ireland played North Macedonia?,home_team_score,2,results
When was the Merdeka Tournament match between South Korea and Indonesia held?,match_date,1982-08-08,results
Was the Viva World Cup match between Sápmi and Monaco neutral?,neutral_status,Yes,results
How many goals were scored altogether when China played Finland?,total_goals,3,results
Who was victorious in the match between Austria and Scotland?,match_winner,Scotland,results
Who won the match between Bosnia and Herzegovina and Portugal?,match_winner,Portugal,results
Was Tomáš Chorý's goal for Czech Republic against Albania an own goal?,own_goal_status,No,goalscorers
Was Charlie Yankos's goal for Australia against Israel a penalty?,penalty_status,No,goalscorers
Was the match between Algeria and Angola played on neutral soil?,neutral_status,Yes,results
Which player got the goal for Egypt against Guinea?,scorer,Hossam Ghaly,goalscorers
Who took the first penalty in the shootout between Bangladesh and Thailand?,first_shooter,Unknown,shootouts
How many goals were scored by the home team Kuwait against Thailand?,home_team_score,6,results
Did Haiti or El Salvador win the match?,match_winner,Draw,results
Did either Croatia or Finland have home advantage?,neutral_status,No,results
Did Luis Araneda's goal in Chile versus Bolivia count as an own goal?,own_goal_status,No,goalscorers
When did Erjon Bogdani score against Kazakhstan?,goal_minute,56,goalscorers
What score did Mexico and Costa Rica finish with?,match_score,Mexico 1 - 0 Costa Rica,results
What was the location of Peru versus Venezuela?,match_location,"Lima, Peru",results
How many goals were there in the match between Mauritius and DR Congo?,total_goals,5,results
What was the location of Gabon versus Niger?,match_location,"Libreville, Gabon",results
What was the result of Malaysia against Thailand?,match_score,Malaysia 1 - 4 Thailand,results
When was the African Cup of Nations match between Algeria and Nigeria held?,match_date,1990-03-16,results
Who started the penalty shootout between South Africa and Zambia?,first_shooter,Unknown,shootouts
Which team defeated the other in Haiti versus Puerto Rico?,match_winner,Haiti,results
What was the total goal count in the match between Colombia and Peru?,total_goals,6,results
What was the total goal count in the match between Zimbabwe and Comoros?,total_goals,2,results
Which tournament featured Guadeloupe versus Martinique?,tournament,Friendly,results
Where was the Friendly match between Jamaica and United States held?,match_location,"Kingston, Jamaica",results
In which minute did James Chewitt score in Saint Vincent and the Grenadines versus Honduras?,goal_minute,62,goalscorers
Was the Friendly match between Iran and Kuwait neutral?,neutral_status,No,results
Did British Virgin Islands and Dominica play on neutral ground?,neutral_status,No,results
What was the final score when Mexico played Portugal?,match_score,Mexico 0 - 0 Portugal,results
Can you tell me the score between Mozambique and Malawi?,match_score,Mozambique 1 - 1 Malawi,results
What was the combined number of goals in the Friendly match between Congo and DR Congo?,total_goals,3,results
What was the away score when Vietnam played Myanmar?,away_team_score,0,results
Who started the penalty shootout between Mozambique and Lesotho?,first_shooter,Unknown,shootouts
In which city and country did Canada play Guatemala?,match_location,"Burnaby, Canada",results
In which minute did Filipe Baravilala score for Fiji against Samoa?,goal_minute,64,goalscorers
Did Zbigniew Boniek score a penalty in the match against Russia?,penalty_status,No,goalscorers
How many times did the home team New Zealand score against China?,home_team_score,1,results
Which player scored for El Salvador in the 1963-03-27 match against Honduras?,scorer,César Reynosa,goalscorers
Who scored for United States against El Salvador?,scorer,Eddie Johnson,goalscorers
Did Russia or Hungary win the match?,match_winner,Russia,results
Which player scored for Guatemala against Barbados?,scorer,Carlos Ruiz,goalscorers
Did the match between Uruguay and Colombia end in a draw or did someone win?,match_winner,Colombia,results
What minute was Ismael Díaz's goal for Panama?,goal_minute,13,goalscorers
Was the goal by Alberts Šeibelis recorded as an own goal?,own_goal_status,No,goalscorers
Which player scored for Mexico against El Salvador?,scorer,Raúl Jiménez,goalscorers
How many goals did the home team Iraq score in this match?,home_team_score,2,results
Did Ati Kepo score from the penalty spot against Fiji?,penalty_status,No,goalscorers
Who was the goalscorer for France versus Spain?,scorer,Kylian Mbappé,goalscorers
When did the match between England and Ghana take place?,match_date,2011-03-29,results
How many goals were recorded in Malawi vs Botswana?,total_goals,0,results
Did Harry Andersson register an own goal in the match against Cuba?,own_goal_status,No,goalscorers
Which side took the opening penalty between Lesotho and Zimbabwe?,first_shooter,Unknown,shootouts
Did Moncef Khouini score a penalty in the match against Guinea?,penalty_status,No,goalscorers
Which event included the match between Northern Ireland and Wales?,tournament,British Home Championship,results
How many goals did the away team Russia score while playing away to Netherlands?,away_team_score,1,results
Which team took the first kick between Iraq and India on 2023-09-07?,first_shooter,India,shootouts
What score did the away team Lesotho record against Botswana?,away_team_score,0,results
What minute was Wong Chun Yue's goal for Hong Kong?,goal_minute,51,goalscorers
Which team won the shootout between Germany and Italy?,shootout_winner,Germany,shootouts
Did Illya Zabarnyi convert a penalty against Belgium on 2025-03-20?,penalty_status,No,goalscorers
What was the home team's goal total against Vietnam Republic?,home_team_score,2,results
Which team took the first kick between Gabon and Togo on 1999-11-26?,first_shooter,Unknown,shootouts
Was the match between Austria and Republic of Ireland played on neutral soil?,neutral_status,No,results
Which tournament was the match between Bosnia and Herzegovina and Estonia part of?,tournament,FIFA World Cup qualification,results
Which side won when Russia faced German DR?,match_winner,Draw,results
How many times did the away team Norway score against Kuwait?,away_team_score,1,results
What was the final result when Peru played Paraguay?,match_score,Peru 3 - 3 Paraguay,results
What competition was the match between Central African Republic and Congo played in?,tournament,UNIFFAC Cup,results
What was the score between Hungary and Austria in Friendly?,match_score,Hungary 4 - 3 Austria,results
How many goals did the home team Iran score in this match?,home_team_score,1,results
What was the home score when Canada played North Korea?,home_team_score,0,results
Who won the penalty shootout between United States and Colombia?,shootout_winner,Colombia,shootouts
In which minute did Yuri Kovtun score in Russia versus Serbia?,goal_minute,25,goalscorers
What minute was Thomas Gravesen's goal for Denmark?,goal_minute,50,goalscorers
What date did Morocco and Burkina Faso play each other?,match_date,2006-08-16,results
Was Malaysia versus Indonesia held at a neutral location?,neutral_status,No,results
Did either Congo or Madagascar have home advantage?,neutral_status,No,results
What was the away team's goal total against Guinea?,away_team_score,0,results
What was the final score between Saint Kitts and Nevis and Trinidad and Tobago?,match_score,Saint Kitts and Nevis 1 - 2 Trinidad and Tobago,results
How many times did the home team Curaçao score against Netherlands?,home_team_score,2,results
How many goals did the home team Rwanda score against Zambia?,home_team_score,0,results
Did Kevin Kurányi score an own goal against Iceland?,own_goal_status,No,goalscorers
Who found the net for Fiji against Tonga?,scorer,Leone Vurukania,goalscorers
Was the goal by Edson Álvarez recorded as an own goal?,own_goal_status,Yes,goalscorers
Who started the penalty shootout between Ynys Môn and Jersey?,first_shooter,Unknown,shootouts
What was the home team's score when Gibraltar played Tibet on 2006-05-31?,home_team_score,5,results
Which event included the match between Saudi Arabia and Hong Kong?,tournament,FIFA World Cup qualification,results
Was the Friendly match between Sudan and Zambia neutral?,neutral_status,No,results
Was Elcio Martina's goal for Curaçao against El Salvador an own goal?,own_goal_status,No,goalscorers
What was the date of Peru versus Uruguay?,match_date,1965-06-06,results
What was the scoreline for Gabon versus Chad?,match_score,Gabon 3 - 0 Chad,results
Was the match between Myanmar and Oman played at a neutral venue?,neutral_status,No,results
Was Crescencio Gutiérrez's goal in Mexico versus United States a spot kick?,penalty_status,No,goalscorers
Which team was victorious in the penalty shootout between Iran and Kuwait?,shootout_winner,Kuwait,shootouts
Did Răzvan Marin score from the penalty spot against Cyprus?,penalty_status,No,goalscorers
Who won the penalty shootout between Uruguay and Iran on 2003-02-04?,shootout_winner,Uruguay,shootouts
At what minute did Carlo Costly find the net against Mexico?,goal_minute,79,goalscorers
At what minute did Michael Laudrup find the net against Belgium?,goal_minute,20,goalscorers
Can you tell me the score between Sweden and Austria?,match_score,Sweden 1 - 0 Austria,results
What score did the home team Haiti record against Bermuda?,home_team_score,1,results
Was Kevin Holness's goal for Canada marked as an own goal?,own_goal_status,No,goalscorers
What city and country hosted United States versus Mexico?,match_location,"Denver, United States",results
Did Roger Hunt convert a penalty against France on 1966-07-20?,penalty_status,No,goalscorers
When did the match between Wales and Norway take place?,match_date,1994-03-09,results
Which tournament included the match between Austria and Uruguay?,tournament,Friendly,results
Was the venue neutral for the match between Mexico and Russia?,neutral_status,No,results
Which team was victorious in the penalty shootout between Benin and Burkina Faso?,shootout_winner,Benin,shootouts
How many goals did the home team Libya score in this match?,home_team_score,1,results
How many times did the away team Turkey score against Spain?,away_team_score,0,results
Which tournament included the match between Finland and South Korea?,tournament,Friendly,results
Who took the first penalty in the shootout between Mozambique and Malawi?,first_shooter,Unknown,shootouts
Did David Obua register an own goal in the match against Mauritius?,own_goal_status,No,goalscorers
At what point in the match did Edson Puch score against Mexico?,goal_minute,87,goalscorers
Which player scored for Portugal in the 1950-04-09 match against Spain?,scorer,Jesus Correia,goalscorers
Was the UEFA Euro qualification match between San Marino and Kazakhstan neutral?,neutral_status,Yes,results
What competition was the match between Zimbabwe and Comoros played in?,tournament,COSAFA Cup,results
Who started the penalty shootout between China and Egypt?,first_shooter,Unknown,shootouts
What was the competition for Jersey against Guernsey on 1982-05-09?,tournament,Muratti Vase,results
When was Arturo Norambuena's goal scored in the match against Peru?,goal_minute,70,goalscorers
Which team took the first kick between Martinique and Suriname on 1996-06-05?,first_shooter,Unknown,shootouts
Who scored for Venezuela in the match against Peru on 2001-10-06?,scorer,Wilfredo Alvarado,goalscorers
How many times did the home team Armenia score against Republic of Ireland?,home_team_score,1,results
Was Finland versus Wales held at a neutral location?,neutral_status,No,results
Was Samuel Eto'o's goal against Tanzania scored into their own net?,own_goal_status,No,goalscorers
Did Parvizdzhon Umarbayev's goal in Tajikistan versus Pakistan count as an own goal?,own_goal_status,No,goalscorers
Which side took the opening penalty between Bosnia and Herzegovina and Denmark?,first_shooter,Unknown,shootouts
Was the goal scored by Ismail Mohammed Sharif for Somalia a penalty?,penalty_status,No,goalscorers
How many goals were scored in total when Paraguay faced Uruguay?,total_goals,3,results
Was the goal scored by Luis Tejada for Panama a penalty?,penalty_status,No,goalscorers
Who won the match between Australia and Canada?,match_winner,Australia,results
Who was the first shooter in the penalty shootout between Seychelles and Mauritius?,first_shooter,Unknown,shootouts
At what minute did Grégoire M'Bida find the net against Zimbabwe?,goal_minute,85,goalscorers
Who won the penalty shootout between Italy and Spain?,shootout_winner,Italy,shootouts
How many goals did the home team Algeria score in this match?,home_team_score,6,results
What was the scoreline for Burkina Faso versus Ivory Coast?,match_score,Burkina Faso 2 - 3 Ivory Coast,results
Was Kakoko Etepé's goal for DR Congo against Mauritius a penalty?,penalty_status,No,goalscorers
Which player scored for Paraguay in the 2016-11-10 match against Peru?,scorer,Cristian Riveros,goalscorers
Was Audrius Kšanavičius's goal in Lithuania versus Georgia a spot kick?,penalty_status,No,goalscorers
Was the goal involving Sukumar Samajpati on 1964-06-02 an own goal?,own_goal_status,No,goalscorers
Was the goal by Franz Beckenbauer recorded as an own goal?,own_goal_status,No,goalscorers
When did the match between Japan and Serbia take place?,match_date,2004-07-13,results
Which team defeated the other in India versus Kuwait?,match_winner,Draw,results
Which tournament featured Saint Kitts and Nevis versus Trinidad and Tobago?,tournament,FIFA World Cup qualification,results
How many goals did the away team Kenya score in this match?,away_team_score,0,results
Who started the penalty shootout between Northern Cyprus and Padania?,first_shooter,Unknown,shootouts
Who was the winner when El Salvador played Canada?,match_winner,Canada,results
Did the match between Egypt and Saudi Arabia end in a draw or did someone win?,match_winner,Egypt,results
Did either Iran or Azerbaijan have home advantage?,neutral_status,No,results
How many total goals were scored between DR Congo and Namibia?,total_goals,5,results
Did Wahbi Khazri's goal for Tunisia come from a penalty kick?,penalty_status,No,goalscorers
Which team was victorious in the penalty shootout between Togo and Sierra Leone?,shootout_winner,Togo,shootouts
What was the away team's score when Kyrgyzstan played Macau?,away_team_score,0,results
Which team took the first penalty between Felvidék and Kárpátalja?,first_shooter,Unknown,shootouts
Did Yemen and Iraq play on neutral ground?,neutral_status,Yes,results
Did Ruud van Nistelrooy convert a penalty against Estonia on 2001-09-05?,penalty_status,No,goalscorers
Which team won the shootout between Romania and Georgia?,shootout_winner,Romania,shootouts
Who was the winner when Suriname played Denmark?,match_winner,Suriname,results
Was Flávio Amado's goal against Zimbabwe scored into their own net?,own_goal_status,No,goalscorers
What was the away team Faroe Islands's score against Estonia?,away_team_score,3,results
What city and country hosted Brazil versus Ecuador?,match_location,"Lima, Peru",results
Who came out on top between Cambodia and Timor-Leste?,match_winner,Cambodia,results
What was the date of Qatar versus Algeria?,match_date,2021-12-15,results
How many goals were scored altogether when Guatemala played Guyana?,total_goals,2,results
Where was the Island Games match between Orkney and Shetland held?,match_location,"Dalhem, Sweden",results
Who was on the scoresheet for Egypt against Senegal?,scorer,Saliou Ciss,goalscorers
Was Madagascar versus Zambia held at a neutral location?,neutral_status,No,results
At what point in the match did Chris Wood score against Solomon Islands?,goal_minute,13,goalscorers
Who won the penalty shootout between Angola and Lesotho on 2013-07-14?,shootout_winner,Lesotho,shootouts
What was the location of Honduras versus Panama?,match_location,"Guatemala City, Guatemala",results
Was the match between Morocco and Burkina Faso played at a neutral venue?,neutral_status,No,results
What was the result of Peru against Nicaragua?,match_score,Peru 2 - 0 Nicaragua,results
How many goals did the home team Saint Vincent and the Grenadines score in this match?,home_team_score,0,results
Who was the goalscorer for Austria versus Liechtenstein?,scorer,Dietmar Kühbauer,goalscorers
How many goals did the home team Belarus score in this match?,home_team_score,0,results
What was the date of Guadeloupe versus Haiti?,match_date,1948-12-16,results
How many goals did the home team Malaysia score in this match?,home_team_score,1,results
Who won the match between DR Congo and Namibia?,match_winner,DR Congo,results
What date did Martinique and Guadeloupe play each other?,match_date,1971-07-14,results
Who was on the scoresheet for Switzerland against Faroe Islands?,scorer,Alexandre Rey,goalscorers
What was the final result when Zimbabwe played Uganda?,match_score,Zimbabwe 1 - 1 Uganda,results
Was Musa Al-Taamari's goal for Jordan against Malaysia an own goal?,own_goal_status,No,goalscorers
Which tournament included the match between Benin and Cameroon?,tournament,African Cup of Nations qualification,results
What was the location of Italy versus Switzerland?,match_location,"Milan, Italy",results
Who was the goalscorer for Morocco versus Gambia?,scorer,Younès Belhanda,goalscorers
What city and country hosted Colombia versus Peru?,match_location,"Bogotá, Colombia",results
How many total goals were scored between Netherlands and Denmark?,total_goals,3,results
Who won the penalty shootout between Jersey and Guernsey?,shootout_winner,Jersey,shootouts
What date did Bulgaria and Germany play each other?,match_date,1989-03-22,results
What competition was the match between Scotland and Spain played in?,tournament,UEFA Euro qualification,results
Which team kicked first in the shootout between Latvia and Iceland?,first_shooter,Iceland,shootouts
Which player scored for Saudi Arabia in the 2015-11-17 match against Timor-Leste?,scorer,Mohammad Al-Sahlawi,goalscorers
Which tournament included the match between Bahrain and Qatar?,tournament,FIFA World Cup qualification,results
What was the overall goal total for the match?,total_goals,2,results
On what date did Burundi play Ethiopia?,match_date,2017-12-07,results
Did Mario Rodríguez score an own goal against Bolivia?,own_goal_status,No,goalscorers
What score did the home team Shetland record against Isle of Wight?,home_team_score,0,results
In which minute did Vladimír Šmicer score in Czech Republic versus Slovakia?,goal_minute,54,goalscorers
What was the score between Ghana and Ivory Coast?,match_score,Ghana 4 - 2 Ivory Coast,results
Was the match between Lithuania and Estonia played at a neutral venue?,neutral_status,No,results
Who took the first penalty in the shootout between Mexico and Costa Rica?,first_shooter,Mexico,shootouts
What score did Jamaica and Norway finish with?,match_score,Jamaica 1 - 1 Norway,results
What was the location of Bulgaria versus Italy?,match_location,"Sofia, Bulgaria",results
What was the location of Uruguay versus Argentina?,match_location,"Goiânia, Brazil",results
Was Gabriel Martinelli's goal for Brazil against Japan a penalty?,penalty_status,No,goalscorers
Which location hosted the match between Denmark and Belgium?,match_location,"Copenhagen, Denmark",results
When did Daniel Braaten score against Iceland?,goal_minute,30,goalscorers
Was the match between Saudi Arabia and United Arab Emirates played on neutral soil?,neutral_status,No,results
Who won the penalty shootout between Spain and Belgium?,shootout_winner,Belgium,shootouts
When was the match between Azerbaijan and Cyprus played?,match_date,2020-10-13,results
Was the goal involving Agim Ibraimi on 2012-10-12 an own goal?,own_goal_status,No,goalscorers
Which player got the goal for Saudi Arabia against Lebanon?,scorer,Redha Tukar,goalscorers
Who started the penalty shootout between Fiji and Solomon Islands?,first_shooter,Unknown,shootouts
Who kicked first when Iran played North Korea in a penalty shootout?,first_shooter,Unknown,shootouts
How many times did the home team Belgium score against Greece?,home_team_score,2,results
Which player scored for Sweden against Malta?,scorer,Zlatan Ibrahimović,goalscorers
Which team defeated the other in Rwanda versus Eritrea?,match_winner,Rwanda,results
Was Bernard Voorhoof's goal for Belgium against Germany a penalty?,penalty_status,No,goalscorers
What competition was the match between Malawi and South Africa played in?,tournament,FIFA World Cup qualification,results
Who came out on top between San Marino and Czech Republic?,match_winner,Czech Republic,results
Was Tim Matavž's goal for Slovenia marked as an own goal?,own_goal_status,No,goalscorers
Who scored for Ecuador in the match against Paraguay on 2009-04-01?,scorer,Christian Noboa,goalscorers
In which minute did Gábor P. Szabó score for Hungary against Bulgaria?,goal_minute,58,goalscorers
Who won the shootout involving Madagascar and Réunion?,shootout_winner,Réunion,shootouts
Was Ferenc Horváth's goal for Hungary marked as an own goal?,own_goal_status,No,goalscorers
When did the match between Malawi and Uganda take place?,match_date,2010-12-02,results
When was the match between South Africa and Burundi played?,match_date,2002-10-13,results
Who took the first penalty in the shootout between Czechoslovakia and Germany?,first_shooter,Czechoslovakia,shootouts
When did the match between United States and Paraguay take place?,match_date,2025-11-15,results
What was the overall goal total for the match?,total_goals,1,results
At what point in the match did Nuno Gomes score against Turkey?,goal_minute,56,goalscorers
Who scored for Algeria in the match against Zimbabwe on 2005-06-19?,scorer,Sofiane Daoud,goalscorers
Which player scored for Italy against Luxembourg?,scorer,Gigi Riva,goalscorers
Did Luxembourg and Faroe Islands play on neutral ground?,neutral_status,No,results
Who took the first penalty in the shootout between Iran and Egypt?,first_shooter,Unknown,shootouts
Which tournament featured Ghana versus Burkina Faso?,tournament,West African Cup,results
Who scored for Uzbekistan in the match against Saudi Arabia on 2007-07-22?,scorer,Pavel Solomin,goalscorers
Was Keithroy Freeman's goal against Guyana scored into their own net?,own_goal_status,No,goalscorers
Was Luís Leal's goal for São Tomé and Príncipe against Ethiopia a penalty?,penalty_status,No,goalscorers
Who found the net for Belgium against Wales?,scorer,Bruno Versavel,goalscorers
